171 3437,4029
172 942,2783
173 453,5126
174 768,3152
175 3,6494
176 380,5407
177 187,5110
178 667,3621
179 1055,14194
180 2203,16291
181 3120,15078
182 53,847
183 473,3746
184 1493,4769
185 426,9278
186 330,12608
187 2390,3568
188 424,5570
189 1610,2010
190 2631,3249
191 315,5254
192 2492,3957
193 82,16032
194 3629,12308
195 3915,13577
196 301,3909
197 243,929
198 130,9787
199 833,2866
200 4764,11411
201 1093,4659
202 1170,3054
203 2663,2940
204 279,1247
205 1139,6847
206 1963,4892
207 557,6453
208 6899,11922
209 474,1351
210 710,6830
211 1611,3039
212 260,2181
213 719,9776
214 6201,8111
215 1557,7098
216 2739,11134
217 4743,4832
218 606,1637
219 321,2291
220 453,22103
221 1393,2254
222 168,242
223 2603,8765
224 1523,6830
225 463,663
226 4514,6513
227 1231,1307
228 1892,7060
229 188,742
230 5996,8110
231 52,8945
232 1411,7281
233 499,1101
234 685,901
235 1229,3579
236 247,1987
237 386,2145
238 122,4817
239 2391,2700
240 830,7820
241 2425,5591
242 218,3347
243 816,4623
244 704,3497
245 7349,10297
246 3957,8540
247 2316,6043
248 168,9133
249 641,2263
250 755,6962
251 321,6343
252 709,1244
253 1963,13113
254 1806,3497
255 1375,3957
256 267,2943
257 310,3313
258 455,9577
259 1463,1782
260 2813,7797
261 247,499
262 2150,3908
263 242,1058
264 61,241
265 208,4470
266 3227,5038
267 100,14071
268 1008,9496
269 1200,8754
270 5972,9028
271 856,2723
272 514,5165
273 2631,5565
274 1062,1479
275 193,4584
276 100,3737
277 141,1285
278 854,1566
279 773,2154
280 56,4057
281 108,3201
282 979,1319
283 2345,3239
284 3175,11793
285 590,12240
286 395,19985
287 3957,4891
288 1292,2727
289 735,833
290 8630,14180
291 516,5502
292 41,5785
293 1483,4128
294 1411,3038
295 1504,12153
296 4408,12258
297 3935,13606
298 98,1300
299 2258,4798
300 2112,6401
301 312,2172
302 8326,15122
303 766,923
304 453,4673
305 72,3660
306 2813,3577
307 1157,8438
308 1121,10541
309 3313,5611
310 3579,4010
311 775,6130
312 755,2198
313 72,380
314 940,2109
315 800,5094
316 2692,5632
317 744,4686
318 2690,2828
319 143,1037
320 789,4047
321 1225,2106
322 1035,9054
323 2377,2605
324 4981,11580
325 1504,8068
326 539,2587
327 857,4208
328 818,3710
329 25,645
330 716,800
331 981,9195
332 1487,4726
333 1229,2615
334 570,1091
335 1008,3559
336 852,12864
337 276,6401
338 4552,11695
339 1703,2400
340 1390,3737
341 128,12262
342 1250,10249
343 268,1966
344 604,1772
345 84,5449
346 124,3935
347 2478,6197
348 766,3411
349 3257,7256
350 480,1355
351 463,8096
352 5,1610
353 1523,6364
354 755,1406
355 794,10541
356 1493,6350
357 557,16199
358 208,1264
359 710,6615
360 2861,4106
361 239,2172
362 3497,8773
363 595,2850
364 744,12098
365 846,7060
366 132,6494
367 2727,5850
368 1839,9341
369 1279,1523
370 828,1776
371 2066,3251
372 2068,3184
373 307,2190
374 766,4830
375 77,803
376 2109,2831
377 9054,9496
378 100,396
379 267,16621
380 1258,4892
381 2198,7427
382 56,487
383 416,1544
384 275,17137
385 1792,1928
386 1544,9563
387 919,5975
388 775,2138
389 435,3372
390 452,1466
391 1598,2727
392 484,6559
393 2066,6108
394 4030,5094
395 82,9395
396 732,11099
397 220,1610
398 1192,1397
399 55,4840
400 1493,8326
401 143,770
402 221,15346
403 95,1862
404 667,1121
405 1075,3328
406 4359,4981
407 2631,3926
408 151,1878
409 3043,11827
410 1030,9687
411 503,1292
412 564,1159
413 762,1403
414 3411,11594
415 2334,8245
416 1598,1931
417 604,6326
418 4049,4949
419 141,2135
420 249,2324
421 4507,6401
422 247,9054
423 546,8874
424 1285,2770
425 260,356
426 503,15566
427 3,5566
428 775,3849
429 1723,2187
430 833,1804
431 1932,14235
432 2959,7533
433 307,18507
434 503,6126
435 284,1091
436 208,3347
437 72,179
438 1372,5272
439 1411,8071
440 132,3208
441 937,2571
442 2692,12885
443 9753,10358
444 775,4226
445 775,5785
446 128,1108
447 696,7060
448 58,137
449 865,3482
450 2912,3759
451 942,1212
452 1523,3311
453 395,1964
454 249,360
455 453,3555
456 800,3590
457 541,1035
458 2831,11553
459 4468,17036
460 352,2020
461 4382,4680
462 455,1386
463 5632,7063
464 3386,3898
465 4743,4817
466 5099,7332
467 755,19519
468 2013,9312
469 1986,2039
470 1819,4086
471 1719,10433
472 1854,8501
473 107,5110
474 4891,5352
475 58,2603
476 288,2907
477 2377,2543
478 1754,3840
479 78,473
480 4700,5888
481 2324,2793
482 751,5962
483 1360,9691
484 271,388
485 1544,2974
486 52,10628
487 865,6972
488 4748,5272
489 456,4463
490 56,170
491 560,3892
492 275,7533
493 7421,8110
494 386,10280
495 1928,6248
496 1250,1812
497 2074,4572
498 1963,9589
499 3839,6201
500 107,3631
